"text","link","reply","class"
"A terrorist attack Who knew  Shocking  duh wakeuppeople",0,0,1
"SanBernardino gunman bought his weapon in Texas Big surprise there",0,0,1
"That's rather harsh coming from Lynch who believes in delicatespeech/end Barry  his minion  TREASON",1,0,1
"Only brown people can be terrorists duh",0,1,1
"Good thing we didn't need his help all season How will he mesh w/ Dwayne BoweWill there be enough footballs",0,1,1
"Finally the Jays signed TholeI was starting to get worried we'd lose him TryToSayThatWithAStraightFace",0,0,1
"isn't awesome that you sister bails on you last minute",0,0,1
"i spoke to e signed for another year",1,1,1
"Stick a finger in the  it's blowing this way That's what I'll write",1,1,1
"I don't understand Baseball is dying",1,0,1
"All MSNBC did was enter a crime scene You'd think they broke the law or something  SanBernadinoShooting",1,0,1
"EU Rightwing leaders upholders of human rights written a letter calling on Venezuela 2 respect democracy",1,0,1
"thanks for the blazing WiFi speeds in Windows10",0,1,1
"What was his thesis for buying I must have missed it  He sounds like an amateur that's bottom fishing",0,1,1
"I can't imagine why  SillyBrian",0,1,1
"Jinnah's Pakistan a gift that keeps on giving",1,0,1
"Amazing speeds from  FIBRE OPTIC broadband",1,0,1
"Both POTUS and AG secretly supporting Trump campaign  no other possible reasons for their bizarre statements about SanBernadino",0,0,1
"Great sale",1,0,1
"So glad the NFL is concerned enough about concussions that they put a massive fine for the hit on Ben  NFLhypocrites",0,1,1
"it wasn't terrorism so why would they need to check for coconspirators",0,1,1
"Stay blood thirsty my friends  merica obama nobama activist occupy banksy",1,0,1
"i wouldn't even believe insider information on a ford ice center D league hockey trade from you  SaidWithLove",0,1,1
"Arizona hockey in the news again BETTER MOVE THE TEAM hatersgonnahate",0,1,1
"blicans are rayciss",1,0,1
"I mean really it's not like there's a lot more important stuff in the world to be upset about  People aren't dying or anything",0,0,1
"But homosexual couples aren't fit to raise kids bc they might grow up to be accepting and tolerant right",1,0,1
"Of course the PS2 emulator on the PS4 won't support discs  Obviously the tech just isn't there to support discs",0,0,1
"it's so nice to see my dad taking care of somebody else's kids he was so great of a father to his own 3 yah know",0,0,1
"maybe poults is always thinking everyone is a hater on twitter notthecase",0,1,1
"Just Relax oq  his bride really were motivated by the threat of Global Warming  ccot tcot teaparty",1,0,1
"Apparently it's a slow day in DC no bigger issues going on  SanBernadinoShooting",1,0,1
"well I for one am shocked and apalled to learn that MSNBC is a garbage news channel  I mean I just did not see this coming",0,0,1
"Alex Ovechkin postseason numbers72 GP 36 G 34 A 70 PBy all means blame him for his team crumbling every spring",0,0,1
"Wow bad deal I submitted an inquiry and it says they will respond in 48 hours customerservice",0,1,1
"Gotta love when British bands get to play the American football superbowl halftime show",0,0,1
"This is so true quotes me funny humour",1,0,1
"But according to some he's not a 1 wide receiver Clearly they know what they're talking about",1,0,1
"I like how my Friday pay checks come on Saturday now  suckadick gimmiemymoney",0,0,1
"lol but dropped a grand on the Titans in case breaks I deserve my couple hundred  Mariota  badjokes",0,1,1
"but he has a sports car he's obviously superior",0,1,1
"Yup it Works are you sure it works He may have to Fire it Again to Make Sure",0,1,1
"Modern day recruitment Here is a task to complete on your own so we can assess how you work in a team",0,0,1
"Hot off the press",1,0,1
"I'm so lucky my desk window looks into the dressing room hallway so I can see old men walk around in their underwear arenaProblems",0,0,1
"Well you did offer your opinion online Didn't you know that was a crime",0,1,1
"Who broke the printing machine",0,0,1
"Oh what fun it is to change your car battery in December",0,0,1
"I demand that people list their hits from highend boxes at 099 opening bid ebay auctions",0,1,1
"I demand high dollar hits for every box I open  yo",0,0,1
"She I don't want to LOOSE ppl from my lifeMe yu'd definitely LOSE me with thisSorryNoSorry  IfOnlyYuGetIt",0,0,1
"So since I don't agree I don't understand That is very openminded of you  dumb",1,0,1
"Guantanamo sounds like a fun summer camp  torture warcrimes",1,0,1
"The Only Running I do Is LATE",1,0,1
"The Only Running I do Is LATE",1,0,1
"The Only Running I do Is LATE",1,0,1
"The Only Running I do Is LATE",1,0,1
"THAT'S HOW YOU DO IT BOYS",1,1,1
"Dermatologist appointment procedure mostly made me crazy sleepy Off to work Hooray",0,0,1
"Been the best birthday week ever",0,0,1
"no need for gun or ammo control I'm sure it was all purchased legally",0,1,1
"My God I see The Corbynista bullies out in force",0,1,1
"Forgiveness adamandeve apple sin religion illo darkart odd outsiderart  h",1,0,1
"Liz is wearing a white sweater How dare she GH",0,0,1
"Newton vs the Saints defense",1,1,1
"when public bodys conduct is so unreasonable that no reasonable public body would do thisLaw explaining law  fucking brilliant",0,0,1
"Roof of palladium oh how I've missed the  techlife  Palladium at Crown",1,0,1
"Not all girls are made of sugar and spice and everything niceSome girls are made of   wine and everything fine",0,0,1
"Let me guess you guys flipped bullish at 205  Lol",0,1,1
"Who cares about preserving an active crime scene anyway",0,1,1
"Once again great point You are smaaaaaart  nicetry youreducationservesyouwell",1,0,1
"Man I'm so glad the referees stepped in for Rodgers last night and threw a 61 yard hail mary pass to win the game  GoPackGo",0,0,1
"Well they're not going to eat it",1,0,1
"And I just fell out on the floor in total shock",1,0,1
"oh wait I thought Fox News was reliable",0,1,1
"Hey thanks for removing Labyrinth it's only my favorite movie  putitback",0,1,1
"yea well done Continue to show how much of the conversation you simply just don't understand Love it",0,1,1
"Really what was your first clue",0,1,1
"nooooo of coooouuuurse noooot  jokes",0,1,1
"Nooooo that can't be  1600RoundsofAmmo plusPipebombs WorkplaceViolence",1,0,1
"I love how they squeezed the IOWA in between the field goal posts",1,0,1
"a lil slow 2day huh",0,1,1
"I guess we needed the FBI to tell us this  dahhh",1,0,1
"When I was ass out with my funds low It's nice to know I had the whole world at my front door  ColeWorld",0,0,1
"Wouldn't it be great if everybody had a gun",1,1,1
"TheWalkingDead TWD zombies  funny logic U2022 It's called being logical duh",1,1,1
"Studying on my day off This is exactly how I wanna spend my Friday",0,0,1
"using  now can't show a sarcastic exclaimation point i get some random emoji",1,0,1
"Why is it that  always goes down just as im wanting to know what people iv never met are having for dinner  Instagram",0,0,1
"Pretty much f0U009FU0099U0084 flirting probablywhyiamsingle single funny  handleit  Portsmouth",1,0,1
"I love that trap music that you play so loud it makes our whole floor vibrate Please play more",0,0,1
"Good to see  being impartial on there FACup games who would have predicted SalfordCityFC was to be picked for tv again",0,0,1
"I agree with  that was just a drable I expected at least a ficlet  and the link to AO3  LisbonSassTeam",0,1,1
"ah well looks like no one's getting it these days",0,1,1
"5 1/2 hours to go woot woot  been here since 8 am",0,0,1
"Funny Celebrity Turds Board Game Available Via AMAZON",1,0,1
"It's terrorism REALLY duh   mastersoftheobvious IslamicExtremism WakeUpAmerica TruthBomb",0,1,1
"That was fast",1,0,1
"Wow  That was fast",0,1,1
"why none silly criminals  terrorists don't obey laws What kind of crazy world would that be",0,1,1
"I've gotta  to add on my status so I can get people to ask me what's wrong cause I crave attention",0,1,1
"Impressive You'd think they would have declared themselves on he rental agreement sad",1,0,1
"Liz is freaked that Jason will find out her secret and runs to Nic Oh yes us viewers believe Liason is true love  puke  GH",0,0,1
"NO Conservatives who won't believe the truth no matter how many facts are placed before them You must be mistaken",0,1,1
"Brilliant",1,0,1
"WOW what a great past 24 hours I've hadf0U009FU0099U0083",0,0,1
"Oh you know she's just using reverse psychology so he will tell her to stay",1,0,1
"It's so nice to see abusive people able to smile and justify their behavior whereareyourscars",0,0,1
"Hahaha these fake news shows are so funny and clever wish there was more of them  tired played",0,1,1
"yep Long wait in the cold til the next train On the plus side I'll get some train vouchers for the inconvenience",0,1,1
"For everything wrong with the country  ISIS PoliceHatred",1,0,1
"I just did an ECG on my teacher I wasn't nervous at all Lol",0,0,1
"I am SHOCKED  SHOCKED I SAY  that the shooters pledged their allegiance to ISIS  Just Shocked",0,0,1
"Fun times",0,0,1
"Is Miami big enough for Barry Bonds AND Mark Richt's ego",0,0,1
"Do you need a ladder to get over yourself FridayFeeling  whatislove",0,0,1
"Maybe their Birmingham to Wakefield train will be better organised",0,1,1
"retiredtanker deadbilly xion1212 Really  Wow  Nobody saw that coming right Everyone",1,0,1
"But you're missing the story of the year You 'data journalists' need to get out of your mom's basement",0,1,1
"Are you playing Magic in courtPffff he's not MY client humor  tsl humor",0,0,1
"you're an idiot a goof and a bad fan",0,1,1
"Barry Bonds is now the hitting coach for the Marlins I can see this going real well Ha",0,0,1
"How about using this friendly dog in an ad campaign He warms the heart GrimacePoodle",1,0,1
"But they're so peaceful",1,0,1
"I love work hmmmmmMMMMMMM",1,0,1
"a sarcasm Because punching someone is illegal  o  notserious tankster troy",1,0,1
"Yes people our President in behind the media entering the SanBarnardino shooters home Evidence coverup",0,0,1
"thanks for driving past and ignoring us Me and my wife feel so touched by your service",0,1,1
"i bet those guys getting pulled over for driving while black were just joking about the whole thing",0,1,1
"How dare the economy do well I mean really  lotsofjobs spendsomemoney",1,0,1
"Hey  I'm so glad that someone gave me a voucher and I can't access or redeem it  That's just fantastic",0,0,1
"I love random headaches in the middle of the day   fml",0,0,1
"Southwold Ok I guess winter sunset  Suffolk",1,0,1
"It's said that  is the lowest form of wit To that I say No really Hey somebody give this person a Nobel peace prize",0,0,1
"But it wasn't a terrorist attack",1,0,1
"Never saw this coming",1,0,1
"You got me Autocorrect changed put to out so my entire argument is invalid",0,1,1
"A Guide to Women's Sleepwear Winter Edition",1,0,1
"deadbilly xion1212 Really  Wow  Nobody saw that coming right",1,0,1
"it was a whole foods joke not an Orioles joke",0,1,1
"I like to be called a stalker",0,1,1
"With both Mattingly and now Barry Binds many teams might fear the Marlins coaches coming out of retirement",0,0,1
"Yes refs let ball carrier get away with illegal stiff arms Missed calls every game",0,1,1
"but we could get Johnny Football",0,1,1
"Lol im joking",0,1,1
"Illegal Gun modifications  HiCap Mags tell us GunContorlLaws not WORKING Y ask 4 more Scumbaags NRA NAGR tcot",0,1,1
"If people get 2 know about the amount of oil in my skinthe US might stop attacking middle east 4 oil  fact skinproblems teenage",0,0,1
"Welp added three functions to a C library it must be time to add a new language to my very impressive resume",0,0,1
"And the NCAA's ears just perked up",1,0,1
"Bombs don't  don't require a back ground check",1,1,1
"doing better for the ultraaffluent Are you kidding me I'm thrilled for them  you obviously  spam blocked",0,1,1
"Gun control works What a concept How novel how surprising  Let's catch up with the Aussies America",1,0,1
"what Dave no Nickelback",0,1,1
"How could you pass up being nominated for Trending Gamer though",0,1,1
"Please tell JEarnest  being spent on making community's safe R being wasted  tcot",0,1,1
"hope everyone is enjoying their Bourbon County  indiebeer independentbeer indiebeer4ever",0,1,1
"Glad this Odeon screen aint freezing cold",0,0,1
"I ran out of room for  in original tweet lol",0,1,1
"damn I guess it's all totally justified then",0,1,1
"No 'but it was fathers day' is not a valid defense to towing a boat with a 015 BAC  lawyer tsl humor",0,0,1
"I follow LT was meant as",0,1,1
"Yes of course I'm trilingual  SheQuotes Quote languages sassy smartass snark",1,0,1
"It's obvious to them now that he has nothing to give to them",0,1,1
"I hope someone took the initiative to setup up a refreshment stand and make some  maybe sell some tshirts  wtf",0,1,1
"But what about all the politicians saying The crisis is over Why would politicians lie",1,0,1
"in middle school I could totally relate to all the songs about relationships with women LadiesMan",0,1,1
"Don't worry fake congressman was from 57th state  tcot",0,1,1
"hashtag necessary for both of us",0,1,1
"liberal media at its best",0,1,1
"I hope someone took the initiative to setup up a refreshment stand and make some  maybe sell some tshirts  wtf",0,1,1
"You should report your employer for abuse  Firstworldproblems    But really though Why IE vs others",0,1,1
"Thats a disgrace Where will it all end The terrorists have won I tells ya",0,1,1
"I can't believe the media is in the killers apt in SanBernardino Make sure there is no bacon with those eggs",0,0,1
"Oh heaven It's not like you're not obvious about your  most of the time",0,1,1
"Stuck in the middle of no where and can only get  and I'm stuck with Bieber Fantastic",0,0,1
"Everyone who has never been on the frontline of anything has the solution to fix everything lol",0,0,1
"Oh I just love when my baby does those rolls in my tummy It's not freaky or weird at all",0,0,1
"I love fucking with the people on Facebook They have their heads way up their asses Not at all like you guys on Twitter",0,0,1
"very quick response to my Dm  poorservice noreply",0,1,1
"ArchdBanterbury ArchdBanterbury ArchdBanterbury ArchdBanterbury iiiincey shoutout Go follow  inceyExpect banter   footy",0,0,1
"Arnold Schwarzenegger will show up soon and yell THERE'S A BOMB IN THERE GET OUT SecurityTheater",0,1,1
"RT   e66 is nightmare from Dubai7s hard shoulder driving on point  muppets all on video",0,0,1
"e66 is nightmare from Dubai7s hard shoulder driving on point  muppets all on video",0,1,1
"Im okay with global warming if that means I dont have to scrape off my car in the morning anymore  ireallyhatewinterthough",0,0,1
"BB9 Hats off Rochelle for beating an OLD man in a PHYSICAL task  intented Roch  Mand are the actual bullies here",0,0,1
"Shocking I thought they built their arsenal just because they were ticked at someone at work",1,0,1
"wow huge crowd",1,0,1
"When  loses your parcel that was supposed to be here 3 days ago that makes for a happy person",0,0,1
"Just saw a twitter account of a boy and the irony is HER tweets are protected",0,0,1
"I look AMAZING",0,1,1
"So yeah normal flight patterns and no where near an airport chemtrails  conspir",1,0,1
"journalistic integrity at it's finest",0,1,1
"Oo Sounds likely",0,1,1
"Rain coming in shut window on  train travelinstyle",0,0,1
"RT TheKingDarkskin I'm bilingual bilingual fourlanguages english profanity  realshit lol",1,0,1
"RT TheKingDarkskin I'm bilingual bilingual fourlanguages english profanity  realshit lol",1,0,1
