"","Messy text"
"1","@andrewrich22 @CougarStats oh, your right, maybe I should have picked you. That would be a great plan. #sarcastic"
"2","Happy Friday to all you sarcastic bitches. #sarcasm #sarcastic #humor #funnyshit #justchas＃ http://bit.ly/1QllaD5<U+00A0> pic.twitter.com/4eBg6D9pcP"
"3","I sent a picture to group chat and put periods wow I'm going crazy #sarcastic"
"4","Of course, it's so damn easy huh ;) go pick one up from the store #funny #sarcastic pic.twitter.com/Pyu6lIdr49"
"5","Are Muslim terrorists because of their religion or is it because of #mbc4 (it broadcasts American movies & sh辰oting fantasies) #Sarcastic"
"6","@PBrowning3 makes my dress go flying up #sarcastic #funny #lol"
"7","@JoeKewl_ @fountain_colin @JoanaAyala @SiliconEros @joejames8855 @ImperfctlySweet @jopower666 @bscotty_67 was a polite #sarcastic sorry lol"
"8","So me!! #sarcastic #coffee #naughty pic.twitter.com/a3jd2hJWux"
"9","I asked my brother if he liked my idea and his response was i dont like Twitter. #greatlistener #sarcastic"
"10","@iatemuggles i hope so cuz photosynthesis is only for animals #sarcastic dw im not stupid "
"11","MJ  RT @JanRomes NO SWEAT PANTS ALLOWED - WINE CLUB #sassy #funny #sarcastic #joyful #KindleUnlimited http://w... http://bit.ly/1PF2Vdi<U+00A0>"
"12","RT @JanRomes NO SWEAT PANTS ALLOWED - WINE CLUB #sassy #funny #sarcastic #joyful  #KindleUnlimited  http://www.amazon.com/No-Sweat-Pants-Allowed-Wine-ebook/dp/B00SQ7SQ14/ref=tmm_kin_swatch_0?_encoding=UTF8&sr=8-1&qid=1427665557<U+00A0>＃"
"13","@JanRomes NO SWEAT PANTS ALLOWED - WINE CLUB #sassy #funny #sarcastic #joyful  #KindleUnlimited http://www.amazon.com/No-Sweat-Pants-Allowed-Wine-ebook/dp/B00SQ7SQ14/ref=tmm_kin_swatch_0?_encoding=UTF8&sr=8-1&qid=1427665557<U+00A0>＃ ＃ "
"14","https://www.youtube.com/watch?v=SPlHYsTChqg<U+00A0>＃ must be powder milk in these trucks in Syria that Russia destroyed so they burn so good #sarcastic"
"15","@Reuschte @Bmeck12 yes, yes you are. #Sarcastic"
"16","@amormontuya just eat MORe.. #sarcastic"
"17","Know any #SARCASTIC people? It could be a good thing! For them and you! Today's #DailyList:   http://www.huffingtonpost.com/entry/benefits-of-sarcasm_565487f5e4b0879a5b0c7099<U+00A0>＃"
"18","7 #Sarcastic #Parental #Comments That Have Indirectly Shaped Our Future http://goo.gl/xZIkX1<U+00A0> pic.twitter.com/0VWkiYPEnb"
"19","NO SWEAT PANTS ALLOWED - WINE CLUB #sassy #funny #sarcastic #joyful  #KindleUnlimited http://www.amazon.com/No-Sweat-Pants-Allowed-Wine-ebook/dp/B00SQ7SQ14/ref=tmm_kin_swatch_0?_encoding=UTF8&sr=8-1&qid=1427665557<U+00A0>＃ ＃  "
"20","RT O_Hammad: #LoL #sarcasm being #sarcastic pic.twitter.com/Tu4pJ05GPZ"
"21","#LoL #sarcasm being #sarcastic pic.twitter.com/UrhYuSU6d3"
"22"," nohtyhumor: When life gives you #NaughtyHumor, #Funny, #sarcastic, #FunJokes, #FunnyImages... http://tmblr.co/ZgG1ul1zHzuGH<U+00A0>"
"23","#Naughty #humor #Funny When life gives you 

#NaughtyHumor, #Funny, #sarcastic, #FunJoke＃ http://twitter.com/Naughty_Humor<U+00A0> pic.twitter.com/9nhOEXvR3r"
"24","RT @JanRomes NO SWEAT PANTS ALLOWED - WINE CLUB #sassy #funny #sarcastic #joyful  #KindleUnlimited  http://www.amazon.com/No-Sweat-Pants-Allowed-Wine-ebook/dp/B00SQ7SQ14/ref=tmm_kin_swatch_0?_encoding=UTF8&sr=8-1&qid=1427665557<U+00A0>＃"
"25","#SanjayLeelaBhansali suffers 3rd degree burn after this #sarcastic post by Bharat Dhabolka＃ http://twitter.com/ScoopWhoop/status/672654099976974336<U+00A0>＃) pic.twitter.com/8IxwZpSVUZ"
